id,code_prefix_start,name,name@es_ES
account_group_template_834_834,834,Gastos de Administración de la OSDE,Gastos de Administración de la OSDE
account_group_template_835_838,835,Gastos Financieros,Gastos Financieros
account_group_template_839_839,839,Gastos por Pérdidas en Tasas de Cambio,Gastos por Pérdidas en Tasas de Cambio
account_group_template_840_840,840,Financiamiento Entregado a la OSDE,Financiamiento Entregado a la OSDE
account_group_template_841_841,841,Gastos por Estadía - Importadores,Gastos por Estadía - Importadores
account_group_template_843_843,843,Gastos por Estadía - Otras Entidades,Gastos por Estadía - Otras Entidades
account_group_template_845_848,845,Gastos por Pérdidas,Gastos por Pérdidas
account_group_template_849_849,849,Gastos por Pérdidas - Desastres,Gastos por Pérdidas - Desastres
account_group_template_850_854,850,Gastos por Faltantes de Bienes,Gastos por Faltantes de Bienes
account_group_template_855_864,855,Otros Impuestos,Otros Impuestos
account_group_template_865_866,865,Otros Gastos,Otros Gastos
account_group_template_867_867,867,Gastos de Eventos,Gastos de Eventos
account_group_template_873_873,873,Gastos de Recuperación de Desastres,Gastos de Recuperación de Desastres
account_group_template_nominales_acreeddoras_excepto_seguros,90,CUENTAS NOMINALES ACREEDORAS (Excepto Empresas de Seguro),CUENTAS NOMINALES ACREEDORAS (Excepto Empresas de Seguro)
account_group_template_900_913,900,Ventas,Ventas
account_group_template_914_914,914,Ventas de Bienes con destino a la Exportación,Ventas de Bienes con destino a la Exportación
account_group_template_915_915,915,Ventas por Exportación de Servicios,Ventas por Exportación de Servicios
account_group_template_916_919,916,Subvenciones,Subvenciones
account_group_template_920_922,920,Ingresos Financieros,Ingresos Financieros
account_group_template_923_923,923,Financiamiento Recibido de las Empresas (Uso exclusivo de la OSDE),Financiamiento Recibido de las Empresas (Uso exclusivo de la OSDE)
account_group_template_924_924,924,Ingresos por Variación de Tasas de Cambio,Ingresos por Variación de Tasas de Cambio
account_group_template_925_925,925,Ingresos por Dividendos Ganados,Ingresos por Dividendos Ganados
account_group_template_926_927,926,Ingresos por Estadía (navieras y operadores),Ingresos por Estadía (navieras y operadores)
account_group_template_928_929,928,Ingresos por Recobro de Estadía (importadores y otras entidades),Ingresos por Recobro de Estadía (importadores y otras entidades)
account_group_template_930_939,930,Ingresos por Sobrantes,Ingresos por Sobrantes
account_group_template_950_952,950,Otros Ingresos,Otros Ingresos
account_group_template_953_953,953,Ingresos por Donaciones Recibidas,Ingresos por Donaciones Recibidas
account_group_template_cuenta_cierre,99,CUENTA DE CIERRE,CUENTA DE CIERRE
aaccount_group_template_999_999,999,Resultado,Resultado
